SPECIES NAME,X,Y
Carpinus betulus,4180500,3026500
Carpinus betulus,4432500,2928500
Carpinus betulus,4226500,2930500
Carpinus betulus,4218500,3074500
Carpinus betulus,4257500,2823500
Carpinus betulus,4282500,3029500
Fagus sylvatica,4277862.131,3196515.293
Fagus sylvatica,4236613.966,3368055.672
Fagus sylvatica,4324431.084,3157574.49
Fagus sylvatica,4288404.822,3239432.566
Fagus sylvatica,4190506.714,3229362.69
Fagus sylvatica,4366384.948,3175093.253
Fagus sylvatica,4273877.654,3231880.512
Fagus sylvatica,4292446.409,3225755.094
Fagus sylvatica,4339424.721,3198551.251
Fagus sylvatica,4300114.192,3147452.185
Fagus sylvatica,4278366.196,3196808.4
Fagus sylvatica,4346076.599,3332480.454
Fagus sylvatica,4321669.476,3149436.571
Fagus sylvatica,4185930.424,3231113.833
Fagus sylvatica,4295097.227,3157640.425
Fagus sylvatica,4272167.338,3379655.884
Fagus sylvatica,4227233.689,3314303.611
Fagus sylvatica,4287479.993,3234086.307
Fagus sylvatica,4281374.875,3182175.869
Fagus sylvatica,4294659.311,3156454.044
Fagus sylvatica,4340800.135,3169017.84
Fagus sylvatica,4282794.593,3182508.672
Fagus sylvatica,4342958.377,3195471.256
Fagus sylvatica,4338526.75,3201636.213
Fagus sylvatica,4293608.985,3228901.519
Fagus sylvatica,4321034.226,3165121.201
Fagus sylvatica,4217948.971,3329137.359
Fagus sylvatica,4339388.857,3198911.396
Fagus sylvatica,4275214.687,3232422.526
Fagus sylvatica,4301841.438,3142174.027
Fagus sylvatica,4242364.178,3313223.966
Fagus sylvatica,4319807.042,3163137.924
Fagus sylvatica,4344807.7,3194963.545
Fagus sylvatica,4297847.789,3203693.498
Fagus sylvatica,4259339.049,3352785.576
Fagus sylvatica,4289110.702,3221317.051
Fagus sylvatica,4345586.706,3219884.66
Fagus sylvatica,4343735.339,3223410.175
Fagus sylvatica,4263692.86,3227912.985
Fagus sylvatica,4270458.32,3232620.426
Fagus sylvatica,4344797.949,3197671.334
Fagus sylvatica,4291862.019,3189035.361
Fagus sylvatica,4323631.043,3172185.882
Fagus sylvatica,4291092.726,3227736.079
Fagus sylvatica,4302092.653,3175740.513
Fagus sylvatica,4290289.822,3189302.477
Fagus sylvatica,4325766.813,3361366.652
Fagus sylvatica,4318025.588,3167644.151
Fagus sylvatica,4353181.799,3180624.795
Fagus sylvatica,4326286.863,3161649.22
Fraxinus excelsior,4285780.181,3200997.904
Fraxinus excelsior,4321628.022,3156495.301
Fraxinus excelsior,4288889.092,3220026.631
Fraxinus excelsior,4380801.195,3241023.519
Fraxinus excelsior,4278432.126,3253521.567
Fraxinus excelsior,4387128.798,3311449.611
Fraxinus excelsior,4292829.626,3230885.876
Fraxinus excelsior,4346249.417,3173250.359
Fraxinus excelsior,4300254.658,3190421.625
Fraxinus excelsior,4293276.174,3227586.06
Fraxinus excelsior,4351299.542,3206306.137
Fraxinus excelsior,4289608.877,3197623.159
Fraxinus excelsior,4336202.961,3206336.323
Fraxinus excelsior,4372505.895,3241751.327
Fraxinus excelsior,4283129.434,3197963.489
Fraxinus excelsior,4194616.804,3222826.243
Fraxinus excelsior,4313592.988,3226016.479
Fraxinus excelsior,4278441.464,3195007.2
Fraxinus excelsior,4244817.133,3392649.303
Fraxinus excelsior,4299881.942,3213289.458
Fraxinus excelsior,4282678.556,3204685.734
Fraxinus excelsior,4341732.318,3266411.748
Fraxinus excelsior,4343655.849,3251853.211
Fraxinus excelsior,4378036.62,3250391.722
Fraxinus excelsior,4309779.482,3200498.981
Fraxinus excelsior,4262900.956,3350525.739
Fraxinus excelsior,4293610.299,3190474.279
Fraxinus excelsior,4342750.557,3206756.458
Fraxinus excelsior,4181760.733,3381555.329
Fraxinus excelsior,4288688.969,3220024.697
Fraxinus excelsior,4317559.651,3218681.187
Fraxinus excelsior,4352952.672,3188736.594
Fraxinus excelsior,4265947.415,3225303.817
Fraxinus excelsior,4351283.828,3205949.781
Fraxinus excelsior,4331552.813,3262858.733
Fraxinus excelsior,4300600.63,3231920.089
Fraxinus excelsior,4287292.107,3238755.253
Fraxinus excelsior,4224949.914,3304540.528
Fraxinus excelsior,4277697.642,3196738.21
Fraxinus excelsior,4287668.055,3236545.257
Fraxinus excelsior,4383410.512,3228992.21
Fraxinus excelsior,4289310.08,3197343.222
Fraxinus excelsior,4342332.686,3266391.196
Fraxinus excelsior,4342269.976,3266811.381
Fraxinus excelsior,4281095.598,3206178.577
Fraxinus excelsior,4300512.826,3243684.294
Fraxinus excelsior,4381765.578,3260050.599
Fraxinus excelsior,4349469.004,3168823.644
Fraxinus excelsior,4323352.422,3161267.435
Fraxinus excelsior,4287736.397,3256544.372
Picea abies,4298011.53,3153989.602
Picea abies,4353336.787,3174329.62
Picea abies,4289435.487,3188248.789
Picea abies,4363539.809,3176964.638
Picea abies,4275532.771,3233096.839
Picea abies,4299192.858,3182302.314
Picea abies,4349929.376,3183994.138
Picea abies,4351851.521,3193045.189
Picea abies,4344229.042,3182728.663
Picea abies,4367472.906,3348270.901
Picea abies,4350219.163,3185200.409
Picea abies,4386876.05,3340677.447
Picea abies,4362354.433,3181141.599
Picea abies,4300482.592,3179126.47
Picea abies,4276684.974,3212732.971
Picea abies,4300284.908,3206962.841
Picea abies,4360521.987,3171543.717
Picea abies,4284561.304,3175161.744
Picea abies,4339373.122,3188620.788
Picea abies,4291080.05,3182791.193
Picea abies,4335481.159,3212223.99
Picea abies,4375527.263,3230722.696
Picea abies,4375079.31,3335090.105
Picea abies,4228446.711,3310688.121
Picea abies,4340943.299,3180731.459
Picea abies,4391478.285,3240433.263
Picea abies,4342463.589,3182187.755
Picea abies,4181962.6,3313039.34
Picea abies,4294442.728,3224089.693
Picea abies,4342013.143,3177587.913
Picea abies,4350038.263,3189671.267
Picea abies,4353878.434,3178803.762
Picea abies,4342318.269,3186810.663
Picea abies,4288906.755,3228766.25
Picea abies,4186764.013,3233489.184
Picea abies,4286268.426,3240503.49
Picea abies,4344556.948,3330280.814
Picea abies,4304501.835,3174184.652
Picea abies,4362010.584,3168539.922
Picea abies,4295625.915,3181149.224
Picea abies,4310712.772,3337168.495
Picea abies,4289993.964,3185786.537
Picea abies,4356863.745,3175817.376
Picea abies,4363020.032,3166888.024
Picea abies,4342891.91,3332690.692
Picea abies,4343099.101,3186123.806
Picea abies,4338643.426,3190368.804
Picea abies,4340240.971,3194106.279
Picea abies,4300456.276,3166729.837
Picea abies,4368136.884,3172243.412
Pinus sylvestris,4337348.546,3353794.966
Pinus sylvestris,4267512.854,3265563.884
Pinus sylvestris,4258374.763,3284564.491
Pinus sylvestris,4384456.058,3340815.281
Pinus sylvestris,4335142.089,3315697.673
Pinus sylvestris,4274895.76,3273180.806
Pinus sylvestris,4317768.444,3278664.801
Pinus sylvestris,4296979.72,3267276.84
Pinus sylvestris,4376006.524,3337672.159
Pinus sylvestris,4381362.722,3326177.782
Pinus sylvestris,4345901.836,3343275.541
Pinus sylvestris,4403827.821,3330958.819
Pinus sylvestris,4336025.29,3330714.941
Pinus sylvestris,4336407.377,3315110.272
Pinus sylvestris,4179942.778,3316589.225
Pinus sylvestris,4379563.751,3332890.587
Pinus sylvestris,4249661.006,3276410.471
Pinus sylvestris,4315114.405,3280837.527
Pinus sylvestris,4225628.019,3317543.512
Pinus sylvestris,4368365.986,3347687.142
Pinus sylvestris,4278934.357,3291863.278
Pinus sylvestris,4220824.636,3281206.641
Pinus sylvestris,4383062.915,3340451.46
Pinus sylvestris,4339231.9,3331169.991
Pinus sylvestris,4359050.009,3332391.562
Pinus sylvestris,4273410.266,3279783.699
Pinus sylvestris,4315189.322,3342605.926
Pinus sylvestris,4296464.144,3149928.687
Pinus sylvestris,4336266.01,3319312.084
Pinus sylvestris,4354191.872,3349658.239
Pinus sylvestris,4370832.702,3352522.77
Pinus sylvestris,4313955.862,3340223.2
Pinus sylvestris,4374960.932,3333167.165
Pinus sylvestris,4336651.416,3354004.747
Pinus sylvestris,4198942.828,3326008.703
Pinus sylvestris,4263237.611,3353021.014
Pinus sylvestris,4179912.885,3314300.291
Pinus sylvestris,4180419.204,3315558.28
Pinus sylvestris,4312653.154,3340041.384
Pinus sylvestris,4366808.137,3350779.963
Pinus sylvestris,4385694.436,3326506.035
Pinus sylvestris,4251014.197,3367422.017
Pinus sylvestris,4367228.164,3337394.772
Pinus sylvestris,4268251.945,3277749.478
Pinus sylvestris,4172924.414,3269909.377
Pinus sylvestris,4334055.793,3314152.946
Pinus sylvestris,4222764.997,3276879.68
Pinus sylvestris,4312728.002,3338240.371
Pinus sylvestris,4310989.014,3335464.664
Pinus sylvestris,4312855.935,3340238.551
Quercus petraea,4241187.632,3371019.607
Quercus petraea,4303680.467,3182987.575
Quercus petraea,4302030.928,3207544.844
Quercus petraea,4265368.123,3343318.692
Quercus petraea,4297893.645,3159315.835
Quercus petraea,4287167.897,3172705.902
Quercus petraea,4206602.102,3310499.233
Quercus petraea,4285321.335,3175647.005
Quercus petraea,4379999.864,3335738.261
Quercus petraea,4321201.387,3148249.495
Quercus petraea,4278433.196,3315620.238
Quercus petraea,4367209.304,3224432.067
Quercus petraea,4382208.675,3325954.755
Quercus petraea,4383551.635,3338916.799
Quercus petraea,4317556.204,3218329.033
Quercus petraea,4278590.514,3315287.11
Quercus petraea,4284968.376,3176566.24
Quercus petraea,4275286.333,3274132.389
Quercus petraea,4304229.997,3180808.626
Quercus petraea,4365819.63,3337113.52
Quercus petraea,4276469.52,3320931.887
Quercus petraea,4296028.9,3222678.607
Quercus petraea,4291549.608,3176845.052
Quercus petraea,4258491.826,3301338.844
Quercus petraea,4249769.691,3385021.016
Quercus petraea,4377385.641,3334397.768
Quercus petraea,4325969.152,3166004.671
Quercus petraea,4375702.843,3336156.26
Quercus petraea,4354765.063,3329360.731
Quercus petraea,4263446.391,3225524.326
Quercus petraea,4316754.631,3341931.124
Quercus petraea,4235530.263,3291991.755
Quercus petraea,4278990.014,3207347.18
Quercus petraea,4232365.267,3305198.059
Quercus petraea,4297231.95,3156142.947
Quercus petraea,4377875.921,3332553.356
Quercus petraea,4282610.333,3179429.903
Quercus petraea,4226608.733,3313419.583
Quercus petraea,4267746.374,3232460.652
Quercus petraea,4335590.438,3212746.441
Quercus petraea,4283114.856,3173055.415
Quercus petraea,4297396.295,3136300.355
Quercus petraea,4285774.217,3176029.12
Quercus petraea,4256181.821,3234416.857
Quercus petraea,4304814.345,3169366.725
Quercus petraea,4260894.526,3228051.455
Quercus petraea,4385263.623,3340271.482
Quercus petraea,4300032.289,3207643.797
Quercus petraea,4291649.603,3176850.225
Quercus petraea,4261320.001,3227684.715
Quercus robur,4278944.051,3211304.703
Quercus robur,4253506.686,3377867.982
Quercus robur,4392042.391,3239882.882
Quercus robur,4312920.7,3254268.013
Quercus robur,4379409.972,3246459.282
Quercus robur,4181888.264,3347110.106
Quercus robur,4283702.363,3179535.056
Quercus robur,4280135.517,3255430.937
Quercus robur,4328011.51,3268640.233
Quercus robur,4161563.567,3357339.106
Quercus robur,4286978.013,3241193.767
Quercus robur,4195357.107,3327057.611
Quercus robur,4203634.489,3320413.746
Quercus robur,4339741.104,3331096.857
Quercus robur,4367675.773,3356922.651
Quercus robur,4195590.045,3336654.783
Quercus robur,4314918.502,3275864.108
Quercus robur,4379317.126,3246209.955
Quercus robur,4272756.757,3323976.629
Quercus robur,4366940.906,3357349.915
Quercus robur,4274140.688,3274307.337
Quercus robur,4213972.859,3325376.033
Quercus robur,4335634.72,3316580.862
Quercus robur,4211128.618,3321200.256
Quercus robur,4283473.67,3179468.777
Quercus robur,4369500.503,3248163.366
Quercus robur,4290824.487,3253185.142
Quercus robur,4272516.837,3323928.428
Quercus robur,4295474.631,3181523.779
Quercus robur,4285665.278,3175824.49
Quercus robur,4194652.547,3221165.121
Quercus robur,4219267.973,3330810.669
Quercus robur,4272349.899,3301823.283
Quercus robur,4188971.943,3347474.447
Quercus robur,4290062.585,3220711.131
Quercus robur,4128367.337,3290942.171
Quercus robur,4406533.257,3329819.427
Quercus robur,4187806.426,3367256.33
Quercus robur,4337635.812,3320041.781
Quercus robur,4415345.695,3314268.47
Quercus robur,4362953.269,3248147.07
Quercus robur,4293486.945,3312653.105
Quercus robur,4375101.084,3244350.694
Quercus robur,4334235.4,3328816.813
Quercus robur,4299226.467,3210888.493
Quercus robur,4280521.8,3254675.395
Quercus robur,4284632.37,3173540.529
Quercus robur,4343839.686,3331805.166
Quercus robur,4295440.565,3266455.687
Quercus robur,4254199.588,3306812.144
Sorbus aucuparia,4581500,3117500
Sorbus aucuparia,4524500,3149500
Sorbus aucuparia,4240500,3202500
Sorbus aucuparia,4249500,2989500
Sorbus aucuparia,4581500,3135500
Sorbus aucuparia,4170500,2946500
Sorbus aucuparia,4436500,3366500
Sorbus aucuparia,4506500,3484500
Sorbus aucuparia,4592500,3388500
Sorbus aucuparia,4603500,3112500
Sorbus aucuparia,4253000,3198500
Sorbus aucuparia,4509500,3162500
Sorbus aucuparia,4359500,3176500
Sorbus aucuparia,4533500,3047500
Sorbus aucuparia,4544500,3071500
Sorbus aucuparia,4563500,3398500
Sorbus aucuparia,4476500,3371500
Sorbus aucuparia,4326500,2756500
Sorbus aucuparia,4136500,3249000
Sorbus aucuparia,4450500,3355500
Sorbus aucuparia,4081500,2906500
Sorbus aucuparia,4166500,3093500
Sorbus aucuparia,4596500,3104500
Sorbus aucuparia,4481500,3041500
Sorbus aucuparia,4318000,3325500
Sorbus aucuparia,4178500,2752500
Sorbus aucuparia,4232500,2762500
Sorbus aucuparia,4628500,3098500
Sorbus aucuparia,4431500,3030500
Sorbus aucuparia,4665500,3141500
Sorbus aucuparia,4186000,2748500
Sorbus aucuparia,4318500,2878500
Sorbus aucuparia,4184500,2768500
Sorbus aucuparia,4268500,2781500
Sorbus aucuparia,4231500,3312500
Sorbus aucuparia,4409500,3031500
Sorbus aucuparia,4197500,2820500
Sorbus aucuparia,4169500,3278500
Sorbus aucuparia,4324500,3078500
Sorbus aucuparia,4085500,2902500
Sorbus aucuparia,4178500,2750500
Sorbus aucuparia,4478500,3351500
Sorbus aucuparia,4174500,3062500
Sorbus aucuparia,4121500,2974500
Sorbus aucuparia,4180500,2758500
Sorbus aucuparia,4223500,3276500
Sorbus aucuparia,4310500,3353500
Sorbus aucuparia,4263500,3275500
Sorbus aucuparia,4140500,3289500
Sorbus aucuparia,4313500,2817500
